title,description,task,keywords,address_name,latitude,longitude
남양주시아동복지센터,"담당업무 : 1.근무시작 -2024년 10월 1일 2.근무시간: 주5일 근무 (10:00~19:00 휴게시간 1시간포함) 3.근무형태: 정규직(수습3개월) 4.지격기준 -사회복지사2급이상 소지자 -유치원,초등학교 또는 중등학교 교사 자격 소지자...","1.근무시작 -2024년 10월 1일 2.근무시간: 주5일 근무 (10:00~19:00 휴게시간 1시간포함) 3.근무형태: 정규직(수습3개월) 4.지격기준 -사회복지사2급이상 소지자 -유치원,초등학교 또는 중등학교 교사 자격 소지자...","1.근무시작, -2024년, 10월, 2.근무시간:, 주5일, (10:00~19:00, 휴게시간, 1시간포함), 3.근무형태:, 정규직(수습3개월), 4.지격기준, -사회복지사2급이상, 소지자, -유치원,초등학교, 중등학교, 소지자...",경기 남양주시 오남읍 오남리 45-5,37.69310858593026,127.21658492097187
노인복지시설우리집,담당업무 : 사회의료복지시설 전반적인 복지사 업무,사회의료복지시설 전반적인 복지사 업무,"사회의료복지시설, 전반적인, 복지사",경기 용인시 처인구 양지면 주북리 70,37.2514037027377,127.26880160841023
홈재가복지센터,"담당업무 : [야탑동] 4등급 할아버지 재가요양보호사 구인 - 독거어르신,거동가능 - 근무시간 주5일 오전 09:30 ~ 12:30 - 시급 9,860원 (주휴수당 포함 12,800원) - 산책도움,식사지원 및 병원동행 등 *실제 서비스 제공기...","[야탑동] 4등급 할아버지 재가요양보호사 구인 - 독거어르신,거동가능 - 근무시간 주5일 오전 09:30 ~ 12:30 - 시급 9,860원 (주휴수당 포함 12,800원) - 산책도움,식사지원 및 병원동행 등","[야탑동], 4등급, 할아버지, 재가요양보호사, 독거어르신,거동가능, 근무시간, 주5일, 09:30, 12:30, 9,860원, (주휴수당, 12,800원), 산책도움,식사지원, 병원동행, *실제, 서비스, 제공기...",강원특별자치도 강릉시 홍제동 604-3,37.758028819362465,128.86196889012695
세안에이앤에이주식회사,"담당업무 : * 스마트밸리(아파트형 공장) 미화원 모집 - 건물 내/외부및 분리수거장 등 청소 업무 - 08:00~16:00, 주5일, 공휴일 휴무 - 월 1,932,480원 - 10/2 출근 가능자",,"스마트밸리(아파트형, 공장), 미화원, 내/외부및, 분리수거장, 08:00~16:00,, 주5일,, 공휴일, 1,932,480원, 10/2, 가능자",서울 송파구 문정동 107-2,37.48703887317256,127.1304421381022
주식회사그린코어이엔씨,"담당업무 : *뿌리 채용 박람회[10/16일 오후2시 ~ 서구청 대회의실 ]기계 설계원 CAD.. 2D, 3D구인합니다. ○ 행사내용 - 채용관: 1:1 구인·구직 현장면접(17개사 예정), 채용정보 제공 - 취업지원관: 유관기관 취업관련 사업...",,"*뿌리, 박람회[10/16일, 오후2시, 서구청, 대회의실, ]기계, 설계원, CAD.., 2D,, 3D구인합니다., 행사내용, 채용관:, 1:1, 구인·구직, 현장면접(17개사, 예정),, 채용정보, 취업지원관:, 유관기관, 취업관련, 사업...",인천 연수구 송도동 172-1,37.3819765617784,126.661968657193
파주예은방문요양센터,"담당업무 : - 5등급 어르신 - 시간 : 월- 금 : 오후 1~4시 / 3시간 / 월~금 - 인지활동, 식사및 청소 - 파주시 강천길99 세운해비치A(금촌동) - 문의 : 010-9159-0690","- 5등급 어르신 - 시간 : 월- 금 : 오후 1~4시 / 3시간 / 월~금 - 인지활동, 식사및 청소 - 파주시 강천길99 세운해비치A(금촌동) - 문의 : 010-9159-0690","5등급, 어르신, 1~4시, 3시간, 월~금, 인지활동,, 식사및, 파주시, 강천길99, 세운해비치A(금촌동), 010-9159-0690",경기 파주시 야당동 296-15,37.7259003076238,126.767759020095
(주)대교테크,담당업무 : 공장 내 단순 제조업무 - 공조닥트 생산직,공장 내 단순 제조업무 - 공조닥트 생산직,"제조업무, 공조닥트, 생산직",경기 광주시 초월읍 대쌍령리 339-3,37.3896194384163,127.28670368575895
행복한집,담당업무 : ◆ 현장 면접 안내◆ 일자리수요데이 구인구직만남의 날------------------------------- - 일시 : 24. 9. 25 (수) - 장소 : 문경고용센터 3층 대회의실 - 내용 : 사업장 채용담당자가 직접 고용센터...,◆ 현장 면접 안내◆ 일자리수요데이 구인구직만남의 날------------------------------- - 일시 : 24. 9. 25 (수) - 장소 : 문경고용센터 3층 대회의실 - 내용 : 사업장 채용담당자가 직접 고용센터...,"안내◆, 일자리수요데이, 구인구직만남의, 날-------------------------------, 24., (수), 문경고용센터, 대회의실, 사업장, 채용담당자가, 고용센터...",서울 종로구 낙원동 207,37.5711450070347,126.989151189217
우리들세무법인,"담당업무 : 세무사사무실 세무법인 직원구인합니다 맡으실 거래처 중 그렇게 어렵거나 규모가 큰 곳은 많이 없습니다 직원 수는 6명이며 신축 건물이며 사무실 평수는 100평정도로 근무환경 쾌적합니다 넓은 주차장 각자리 모두 듀얼모니터, 1인 1프린...","세무사사무실 세무법인 직원구인합니다 맡으실 거래처 중 그렇게 어렵거나 규모가 큰 곳은 많이 없습니다 직원 수는 6명이며 신축 건물이며 사무실 평수는 100평정도로 근무환경 쾌적합니다 넓은 주차장 각자리 모두 듀얼모니터, 1인 1프린...","세무사사무실, 세무법인, 직원구인합니다, 맡으실, 거래처, 그렇게, 어렵거나, 규모가, 없습니다, 6명이며, 건물이며, 사무실, 평수는, 100평정도로, 근무환경, 쾌적합니다, 주차장, 각자리, 듀얼모니터,, 1프린...",경기 남양주시 진접읍 연평리 111-1,37.70927854680472,127.18585565957999
부용전선주식회사,"담당업무 : 전선 제조 업체 단순 품질 검사원 정규 직원 모집(경력무관) 모집 부문 및 상세 내용 공통 자격 요건 ㆍ학력 : 무관 ㆍ나이/성별 : 무관 모집인원 : 1명 담당업무 ㆍ전선(케이블) 품질, 현장 근무 ㆍ전선(케이블) 구조 및 특성 ...","전선 제조 업체 단순 품질 검사원 정규 직원 모집(경력무관) 모집 부문 및 상세 내용 공통 자격 요건 ㆍ학력 : 무관 ㆍ나이/성별 : 무관 모집인원 : 1명 담당업무 ㆍ전선(케이블) 품질, 현장 근무 ㆍ전선(케이블) 구조 및 특성 ...","검사원, 모집(경력무관), ㆍ학력, ㆍ나이/성별, 모집인원, 담당업무, ㆍ전선(케이블), 품질,, ㆍ전선(케이블), ...",충북 청주시 청원구 오창읍 모정리 80,36.7506683019836,127.469321147013
